"JR奈良線桃山駅","JR Nara Line Momoyama station",
"JR南田辺駅","JR Minami-Tanabe Station",
"JR難波駅","JR Nanba Station",
"JR二条駅NKビル","JR Nijo Station NK Building",
"JR板橋駅","JR Itabashi Station",
"JR舞鶴線","JR Maizuru Line",
"JR福知山線","JR Fukuchiyama Line",
"JR福知山線脱線事故","The derailment accident on the JR Fukuchiyama Line ",
"JR片町線","JR Katamachi Line",
"JR宝塚線","JR Takarazuka Line",
"JR宝塚線新三田 (駅)","JR Takarazuka Line Shin-Sanda Station",
"JR六地蔵","JR Rokujizo",
"JR六地蔵イトーヨーカドー前","JR Rokujizo Ito-Yokado-mae",
"JR六地蔵北口","JR Rokujizo Kitaguchi",
"Jスルー","J Through Card",
"Jスルーカード","J Through Card",
"KBS京都放送（KBS京都）","Kyoto Broadcasting System Company Limited",
"KOBEウェルディングワイヤ","KOBE Welding Wire Co., Ltd.",
"KTR (北近畿タンゴ鉄道) 宮津駅前","KTR (Kitakinki tango Railway) Miyazu-ekimae",
"KTR001形気動車「タンゴエクスプローラー」","KRT001 type diesel multiple unit known ""Limited Express Tango Explorer""",
"KTR宮福線","KTR Miyafuku Line",
"KTR天橋立駅前","KTR Ama-no-Hashidate-ekimae",
"KTR特急タンゴエクスプローラー","KTR Limited Express Tango Explorer",
"KTR特急タンゴディスカバリー","KTR Limited Express Tango Discovery",
"KYOTO南丹ラリー","Kyoto Nantan Rally",
"K特急","K-limited express",
"K特急「おりひめ」","K-Ltd. Express (K-tokkyu) ""Orihime""",
"LRT","light rail transit (LRT)",
"M.F.デントン","M. F. Denton",
"MBSタイガースナイター","MBS Tigers nighter (night game)",
"MBSナウ","MBS Now",
"MIOびわこ草津","MIO Biwako Kusatsu",
"MOA美術館","MOA Museum of Art",
"MOMO近鉄（近鉄百貨店桃山店）","MOMO Kintetsu (Kintetsu Department Store Momoyama Store)",
"MOSAIC.WAVE","MOSAIC.WAVE",
"MOVIX","MOVIX (Kyoto)",
"MOVIX京都","MOVIX Kyoto",
"NATO弾","NATO bullet",
"NCC宗教研究所","NCC Center for the Study of Japanese Religions",
"NHK","Nippon Hoso Kyokai (Japan Broadcasting Corporation)",
"NHK京都放送局","NHK Kyoto Broadcasting Station",
"NHK教育テレビジョン","NHK National Educational Television",
"NHK大河ドラマ","Taiga-dorama (NHK Historical drama)",
"NTTけいはんな","NTT Keihanna",
"NTTファシリティーズ","NTT Facilities",
"NTT新田別館","NTT Shinden Bekkan Annex",
"NTT西日本","NTT West",
"NTT都市開発","NTT Urban Development Co.",
"NTT淀ビル","NTT Yodo Building",
"N電","enu-den (narrow gauged train)",
"O・TA・I・KO 響","Otaiko-hibike (Let the drum echo)",
"O・TO・GI 〜御伽〜","O・TO・GI - Otogi - (English title: Otogi: Myth of Demons)",
"OEM","OEM (original equipment manufacturing)",
"PHP研究所本社","PHP Inteface Kyoto Head Office",
"PiTaPa","PiTaPa Card",
"Re-Cueホール","Re-Cue Hall",
"RKB毎日放送","RKB Mainichi Broadcasting Corporation",
"SANSA右京","SANSA Ukyo",
"SECカーボン株式会社","SEC Carbon, Limited",
"SGホールディングス本社","Sagawa Express Co., Ltd. Head Office/Kyoto Office",
"SL公園","SL Park",
"Suica","Suica Card",
"Tactics (漫画)（木下さくらと東山和子による漫画）","""Tactics (cartoon)"" by Sakura KINOSHITA and Kazuko HIGASHIYAMA",
"TBS","Tokyo Broadcasting System Television, Inc.",
"TBSドラマ","TBC drama",
"THE MOMOTAROHオニ一族","THE MOMOTAROH Oni Ichizoku",
"T字路","T-intersection / T-junction",
"VICSリンク","VICS (Vehicle Information and Communication System) links",
"Zパンタ (グラフ）","Z-shaped pantograph",
"アーケード","arcade",
"アーサー","The Prince Arthur",
"アーサー・ウェイリー","Arther David Waley",
"アーチェリー","archery",
"アーチ形の天井","arch-shaped ceiling",
"アート展示会","art exhibition",
"アーネスト・フェノロサ","Ernest Fenollosa",
"アーバネックス御池ビル","Urbanex Oike Building",
"アーバン・エース","Urban Ace Corporation",
"アーバンネットワーク","the Urban Network",
"アーモスト館","Amherst House",
"アーモスト大学","Amherst College",
"アイ","Ai",
"アイーダディズニー","Disney's Aida",
"アイコム（株）「ならやま研究所」","Narayama R & D Office, Icom Inc.",
"アイシャドー","eye shadow",
"アイデア","idea",
"アイヌ","Ainu tribe",
"アイヌ民族","the Ainu",
"あいの土山斎王群行","Aino Tsuchiyama Saio Gunko (Princess Saio's costumed procession to Ise Jingu represented the Emperor)",
"アイフル","AIFUL Corporation",
"アイルランド","Ireland",
"アヴェスター","Avesta",
"アカカンガルー","red kangaroo",
"アカギツネ","red fox",
"アカゲザル","rhesus macaque",
"アカコンゴウインコ","Scarlet macaw",
"アカデミア賞","Academia-sho (Academia Award)",
"アカデメイア立命21","Academeia Ritsumei 21",
"アカマツ材","red pine timber",
"アカ族","the Aka (Akha) ethnic group",
"あきたこまち","Akita-Komachi",
"あきのた","Autumn rice field",
"あき子内親王","Imperial Princess Akiko",
"アクションプラン-21","action plan 21",
"アクセス","Access",
"あぐり","""Aguri""",
"アグリッパ","Agrippa",
"アク抜き","removing scum",
"アケメネス朝ペルシア","Achaemenid Empire of Persia",
"あげ首","high neck",
"あごなし地蔵","Agonashi Jizo",
"あこめ装束","akome shozoku (formal costume for Urayasu no mai)",
"あさきゆめみし","Asaki Yume mishi (not having a dream)",
"アサヒビール","Asahi Breweries, Ltd.",
"アサヒビール大山崎山荘美術館","Asahi Beer Oyamazaki Villa Museum",
"アジアゾウ","Asian elephant",
"アジア史コース","Course in Asian History",
"アジア主義","Asianism",
"アジア宗教文化情報研究所","Research and Information Center for Asian Religious Culture of Bukkyo University",
"アジア情報室","Asian Resources Room",
"アジア太平洋大学","Ritsumeikan Asia Pacific University",
"アジサイ","Japanese hydrangea",
"あじさいホール","Ajisai Hall",
"アジサイ祭り","Ajisai (hydrangea) Matsuri Festival",
"アジタパティー河","the Ajitavati River",
"アシナヅチ","Ashinazuchi",
"アジャンター石窟","Ajanta Cave",
"アショーカ王","Asoka",
"アシライ","Ashirai",
"アズキ","azuki beans",
"アズナス","ASNAS",
"あずまかいどう","Azuma-kaido Road",
"アスラ","Asura",
"アセット・マネージャーズ","Asset Managers Holdings Co.,Ltd.",
"アセットオペレーターズ","MBK Operators co.,ltd.",
"あぜ道","a path between rice fields",
"あたご本地仏火除地蔵尊","Atago hon-jibutsu, the Atago eternal Buddhist figures Buddha",
"アダム・ラクスマン","Adam Kirillovich Laksman",
"アダルトゲーム","Game for adults",
"アチソン連合国軍最高司令官総司令部政治顧問","Acheson, political adviser, top commander of the General Headquarters of the Allied Powers",
"あつま屋","Atsuma-ya Arbor",
"アテルイ","Aterui",
"アトス山","Mt. Athos",
"アトラス","Atlus",
"アナグマ","badger",
"アニサキス","anisakis",
"アニメーションコース","Animation Course",
"アニメーション学科","Department of Animation",
"アハマド","Ahmad",
"あばれ祭り","Abare Matsuri (Powerful Festival)",
"アバンティ (商業ビル)","Avanti",
"あびこ観音","Abiko Kannon",
"アピタ","Apita",
"アビラ・ヒロン","Avila GIRON",
"アブガルス３世","Abgarus the 3rd",
"あふぎ","ogi",
"アブドゥッラー","Abdullah",
"アフラ・マズダー","Ahura Mazda",
"あぶらとり紙","Aburatorigami (facial oil blotting paper)",
"アプリ","application software",
"アプリケーションサービスプロバイダ製作","manufacture of application service provider",
"アプリケーションサービスプロバイダ販売","distribution of application service provider",
"あぶり餅","aburimochi (grilled rice cakes)",
"アプレイウス","Lucius Apuleius",
"アブンヌール・イスラーム学院","The School of the Qur'an- The AbuNour Islamic",
"アポロン","Apollo",
"アマーク・ド・パラディ","Hamac de Paradis",
"アマースト大学","Amherst College",
"アマダイ","tilefish",
"アマチュアカメラマン","an amateur photographer",
"アマツヒコネ","Amatsuhikone",
"アマテラス","Amaterasu",
"あまてらすおおみかみ","Amaterasu omikami",
"あまべ","Amabe",
"あまんきみこ","Kimiko AMAN",
"あみだくじ","Amidakuji, lottery",
"アミノ酸・たんぱく質","amino acids/proteins",
"アメデオ・モディリアーニ","Amedeo MODIGLIANI",
"アメノウズメ","Amenouzume",
"アメノオシホミミ","Amenooshihomimi",
"アメノコヤネ","Amenokoyane",
"アメノコヤネノミコト","Amenokoyane no mikoto",
"アメノホアカリ","Amenohoakari",
"アメノホヒ","Amenohohi",
"アメリカ","America",
"アメリカン・ボード","American Board",
"アメリカ議会図書館","Library of Congress",
"アメリカ研究科（前期・後期）","Graduate School of American Studies",
"アメリカ研究所","International Institutes of American Studies",
"アメリカ研究専攻","American Studies",
"アメリカ合衆国","the United States of America",
"アメリカ合衆国テレビ科学芸術協会選出","elected by The Academy of Television Arts & Sciences",
"アメリカ合衆国製","US made",
"アメリカ国務省","Department of State",
"アメリカ人","American",
"あめ色","yellowish-brown",
"あやべ温泉","Ayabe-onsen Hot Spring",
"あやべ市民バス","Aya Bus",
"あやめ","iris",
"アユ","an ayu (a sweetfish)",
"アユタヤー王朝","Ayutthaya Kingdom",
"あらすじ","story line",
"アララギ","a wild rocambole",
"アララギ派","Araragi-ha",
"アリ","ari",
"アリナミン","Alinamin",
"アル・プラザ","AL PLAZA",
"アルカンシエール美術財団","Arc-en-Ciel Foundation",
"アルタミラ洞窟","Cueva de Altamira",
"あるでえ丹後","Arude Tango",
"アルデシュ県","the Ardèche region",
"アルテミス","Artemis",
"アルファード","ALPHARD",
"アルプス山脈","the Alps",
"アルプラザ","AL PLAZA",
"アルフレド・ストロエスネル","Alfredo Stroessner",
"アルベルト・ジャコメッティ","Alberto GIACOMETTI",
"アルメニア王","the king of Armenia",
"アレクサンドル3世","Alexander Ⅲ",
"あわしま堂","Awashima-Do",
"あわせ","a lined kimono",
"アワビ（女陰）","abalones (female genitals)",
"あわら市（福井県）","Awara City, Fukui Prefecture",
"アングロアラブ","Anglo-Arabian horse",
"あんこう型","angler fish type",
"あんこ地蔵","Anko Jizo",
"あんさん","an-san",
"アンスリー","Anthree",
"あんた橋","Anta-bashi Bridge",
"アンチエイジングリサーチセンター","Anti-Aging Research Center",
"アンデス文明","Cultures of the Andes",
"アンドレーア・パッラーディオ","Andrea Palladio",
"あんなま","an-nama (namayatsuhashi with filling)",
"アンバーパリー園","Amrapali",
"アン王女","Princess Anne",
"イーグルバス","Eagle Bus",
"イートアンド（旧大阪王将）","Eat-and (former Osaka-Osho)",
"イエーテボリ大学政経大学院","Goteborg University, School of Business, Economics and Law",
"イエズス会","the Society of Jesus",
"イエズス会員","Jesuit",
"イオン (企業)グループ","AEON Group",
"イオンモール京都ハナ","AEON MALL Kyoto Hana",
"イオン工学研究所","Ion Engineering Research Institute Corporation",
"イオン高の原ショッピングセンター","Aeon Takanohara Shopping Center",
"イカ","squid",
"位階","Ikai (Court rank)",
"いかだ牛蒡","Ikada-gobo (burdock)",
"いか豊穣めし","Ika (squid) Hojo-meshi",
"イキクサ","Iki kusa",
"イギリス","England",
"イギリス女王","Queen of England",
"イギリス人","an Englishman",
"イギリス帝国","British Empire",
"いくら市松寿し","Ikura (salmon roe) Ichimatsu-zushi",
"いけばな","ikebana/(the Japanese art of) flower arrangement",
"いこいの森","Ikoi no Mori",
"イザナギ","Izanagi (The Male Who Invites), male deity ",
"いざなぎ流","Izanagi ryu",
"イザナミ","Izanami (The Female Who Invites), female deity",
"イサム・ノグチ","Isamu NOGUCHI",
"いすゞ","Isuzu",
"いすゞ・ガーラ","Isuzu Gala",
"いすゞバス","Isuzu Bus Manufacturing Ltd.",
"いすゞ自動車","Isuzu Mortors, Ltd.",
"イスパニア","Espana",
"イズミヤ","Izumiya",
"イズミヤ高野店","Takano branch shop, Izumiya",
"イズミヤ白梅町店","Hakubai branch shop, Izumiya",
"イズミヤ八幡店","Izumiya Yawata Store",
"イズミヤ六地蔵店","Izumiya Rokujizo Store",
"イスラム教","Islam, Islamism",
"イスラム教各宗派","various schools of Islam",
"イスラム五行","Five Pillars of Islam",
"イタコ","Itako (The Japanese shaman)",
"イタチ科（テン）","Mustelidae (martens)",
"イタリア","Italy",
"イタリア語","Italian",
"イタリア料理","Italian cuisine",
"イチキシマヒメ","Ichikishima-hime",
"いちご","strawberry",
"イチョウ","ginkgo",
"イト（絲子）","Ito (Itoko)",
"イトーヨーカドー奈良店","former Nara Sogo",
"イトーヨーカ堂","Ito-Yokado",
"イノダコーヒ","Inoda Coffee",
"いぶりがっこ","Iburigakko",
"イマ","Yima",
"イマジン","Imagin",
"イラストレーションコース","Illustration Course",
"イラン","Iran",
"いりなか駅","Irinaka Station",
"イルミネーション","illuminations",
"いろは坂","Irohazaka slope",
"イワシ","sardines",
"イワトビペンギン","rockhopper penguin",
"イワナガヒメ","Iwanaga-hime",
"イワン・シュテンドルフ","Ivan Stendorf",
"インクライン","Incline",
"インクライン周辺","neighborhood of Incline",
"インゲンマメ","kidney bean/French bean/ingenmame",
"インスタント食品","instant suimono",
"インターアーバン","inter-urban",
"インディアナ","Indiana",
"インテリアプロダクトコース","Interior Product Course",
"インテリジェントシステムズ本社","INTELLIGENT SYSTEMS Co., Ltd",
"インテリジェント情報工学科","Department of Intelligent Information Engineering and Sciences",
"インド","India",
"インドオオコウモリ","Indian flying fox",
"インドクジャク","blue peacock",
"インドシナ","Indochina",
"インドニシキヘビ","Indian python",
"インドヒスイ","green aventurine",
"インドラ","Indra",
"インド代表判事ラダ・ビノード・パール","Ph. Radha Binod Pal, a judge representing India",
"インド独立50周年","the 50th anniversary of the independence of India",
"インド半島西岸","the west coast of Indian peninsula",
"インフォーステーション","Keihan Info Station, an open-counter type ticket gate",
"ヴァージニア・ウルフ","Virginia Woolf",
"ヴァチカン","Vatican",
"ヴァリニャーニ","Valignano",
"ヴァルナ","Varuna",
"ウィーン大学","University of Vienna",
"ヴィクトリア","Victoria",
"ヴィクトリア大学ウェリントン校","Victoria University of Wellington",
"ヴィシー政権","Regime de Vichy",
"ヴィシュヌ","Visnu",
"ウィズ","WiZ",
"ウィスコンシン大学","University of Wisconsin",
"ウィスコンシン大学ロースクール","University of Wisconsin Law School",
"ウィットマン大学","Whitman College",
"ウィニペグ大学","University of Winnipeg",
"ウィリアム・メレル・ヴォーリズ","William Merrell Vories",
"ウィリアムズ大学","Williams College",
"ウィルコムカウンター花園橋店","WILLCOM COUNTER Hanazonoten",
"ヴィローチャナ","Virocana",
"ウィングス京都","Wings Kyoto",
"ウィンザー城","Windsor Castle",
"ウィンザー朝","Windsor dynasty",
"ウインズ京都","WINS Kyoto",
"ウィンターカップ","Winter Cup",
"ヴィンチェンツォ・ラグーザ","Vincenzo Ragusa ",
"うーとん","U-ton",
"ウェイリー","Yosano-Genji",
"ヴェーサリー国","Vaisali",
"ヴェーダ","veda",
"ウェスコム（株）「京阪奈情報技術研究所」","Keihanna Institution of Information Technology, Wescom",
"ウェスティン都ホテル","Westin Miyako Hotel",
"ウェスティン都ホテル京都","The Westin Miyako Kyoto",
"ウェストサイド物語","West Side Story",
"ウェストミンスター","Westminster",
"ウエスト電気","WEST Electric.",
"ウェルサンピア京都","Wel Sunpia Kyoto",
"ウェルズリー大学","Wellesley College",
"ウォータージェット（水圧の刃）","waterjet (water pressure knife)",
"ウォーリック大学","University of Warwick",
"ウカノミタマ","Ukano-mitama",
"ウガヤフキアエズ","Ugayafukiaezu",
"うき舟","Ukihune",
"うぐいすあん","bush warbler bean jam",
"ウケモチ（うけもち）","Ukemochi",
"ウコン","turmeric",
"ウサギ","rabbit",
"ウスターソース","Worcester sauce+C174",
"うずまさ","Uzumasa",
"うずらっぱ (Beepa)","U-zra8, Beepa",
"うちわ","Uchiwa fan",
"うつくしきもの","Adorable thing",
"うどめ","Udome",
"ウトロ地区","Utoro",
"うどん","udon (Japanese wheat noodle)",
"ウナギ","eel",
"ウニ","sea urchin",
"ウマ","horse-shaped piece",
"ウマー","Uma",
"うま味調味料","umami-chomiryo (chemical seasoning)",
"ウミウ","a Temminck's cormorant",
"うみつみち","Umitsu-michi",
"ウミネコ","black-tailed gull",
"ウミノミチ","Umino-michi",
"ウメ","Japanese plum",
"うめ（宝泉院）","Ume(Hosenin)",
"ウラジオストク","Vladivostok",
"うるし祖神","an ancestor of urushi (lacquar) worshepped as deity",
"うるち米","nonglutinous rice",
"ウルトラ山岳マラソン鯖街道マラニック（マラソン＋ピクニック）","Ultra mountain marathon, Sabakaido Maranic (marathon and picnic)",
"ウロンゴン大学","University of Wollongong",
"ウワナベ古墳","Uwanabe Ancient Tomb",
"うわ水","the upper water",
"ウ音便","euphonic changes ""u""",
"エイデン (家電量販店)","EIDEN Co.,Ltd.",
"エイブラハム・リンカーン","Abraham LINCOLN",
"エウロパ","Europa",
"エーデル北近畿","Edel-Kitakinki",
"エキスパートシステム化プロジェクト","expert systemizing project",
"エキスポ準急","Expo-junkyu (Semi Express to Expo)",
"エキスポ直通","Expo-chokutsu (Direct service to Expo)",
"エクシブ八瀬離宮","Resourttrust XIV Yase Rikyu",
"エクス・マルセイユ第3大学","University of Aix-Marseille III",
"エコール・サントラル（リール・ナント）","École Centrale de Lille, École Centrale de Nantes",
"エコール・サントラル国立理工科学学院","École Centrale",
"エコステーション21","EcoStation21",
"エコトピア寿","Ecotopia Kotobuki",
"エゴマ","egoma (type of perilla), Perilla frutescens var. frutescens",
"エコロジー研究所","Ecology Research Institute",
"エジソンバンドを探せ！","Search Edison band!",
"エジプト","Egypt",
"エジンバラ公爵","The Duke of Edinburgh[Vancouver Sun",
"エスニック料理店","ethnic foods restaurant",
"エスペック株式会社","ESPEC Corp.",
"エゾヤマザクラ","prunus sargentii",
"エディンバラ大学","University of Edinburgh",
"エデッサ","Edessa",
"エドアルド・キヨッソーネ","Edoardo Chiossone",
"エドウィン・O・ライシャワー","Edwin O. Reischauer",
"エドワード・ガントレット","Edward Gauntlett",
"エドワード・サイデンステッカー","Edward George Seidensticker",
"エドワード8世","Edward VIII",
"エナメル質","enamel",
"エヌシーバス","NC Bus",
"エネルギー機械工学科","Department of Energy and Mechanical Engineering",
"エネルギー変換研究センター","Energy Conversion Research Center",
"エビータ","Evita",
"エビイモ","ebiimo (taro-like tuber)",
"えびすきとねり","prawn-fishing lower official",
"エフ・プラザ梅小路","F-Plaza Umekoji",
"エフエムあやべ","FM Ayabe, “FM Ikaru""",
"エフエム京都","FM Kyoto",
"エフエム京都（α-Station）","FM Kyoto (α-Station)",
"エフエム大阪","FM Osaka",
"エミュー","emu",
"エムケイ","MK Co.,Ltd.",
"エリザベス2世","Elizabeth Ⅱ",
"エリザベス女王","Queen Elizabeth",
"エリザベス女王杯","Queen Elizabeth II Commemorative Cup",
"えりも農場","Erimo farm",
"エリュトレイア","Erythraea",
"エル＝ブルーホ","El Brujo",
"エル・マールまいづる","ELMAR MAIZURU",
"エルヴィン・フォン・ベルツ","Erwin von Bälz",
"エルガ","ERGA",
"エルサレム","Solyma",
"エル特急","L-tokkyu (Limited Express)",
"エル特急「北近畿 (列車)」","L-limited Express 'Kita-Kinki (train)'",
"エル特急「雷鳥 (列車)」","Limited Express ""Raicho""",
"エレナ","Elena",
"エログロ趣味","erotic and grotesque taste",
"エンタシス","entasis",
"えんぶり（八戸市）","Enburi festival (Hachinohe City)",
"エンボス","embossment",
"エンボス機","an embossing machine",
"エンボス状の凹凸","embossed patterns",
"え段","""e"" group",
"オイゲン・ヘリゲル","Eugen Herrigel",
"おいらん","Oiran",
"オイルショック","oil shock",
"オイルフォンデュ","an oil fondue",
"オウ","ou",
"おうぎ","Ogi",
"オウギバショウ","Ogibasho traveler's-tree",
"おうす","ousu",
"おうふう","Ofu",
"おう飯","ohan",
"おおい町","Oi-cho",
"オーエス","OS Co.,Ltd.",
"オーガスタナショナルGC","Augusta National Golf Club",
"おおきに財団","Ookini Zaidan (Kyoto Traditional Musical Art Foundation)",
"オオキンレイカ","Patrinia takeuchiana Makino",
"オークラホテルズ&リゾーツ","Okura Hotels & Resorts",
"オオゲツヒメ","Oogetsuhime",
"おおさか東線","Osaka Higashi Line",
"オオサンショウウオ","Japanese giant salamander",
"オーシャンアロー","Ocean Arrow",
"オーストリア特命全権公使","envoy extraordinary to Austria",
"オオタカ","goshawk",
"オオバタン","rose-crested cockatoo",
"オープンコースウェア","Open CourseWare",
"オオモノヌシ","Omononushi",
"オオヤマツミ","Oyamatsumi",
"おかき","Japanese cracker mix",
"おかげ参り","Okage mairi",
"おかげ踊り","Okage-odori dance",
"おかげ踊り図絵馬","Okage odorizu ema",
"おかげ踊り保存会","Okage-odori hozonkai (Okage-odori dance preservation group)",
"尾形光琳","Korin OGATA",
"おかめの物語","Okame-no-monogatari",
"おかめ音頭","the Okame ondo (a folk song)",
"おかめ信仰","belief in Okame",
"おかめ人形","Okame dolls",
"おかめ節分","Okame Setsubun",
"おかめ像","statue of Okame",
"おくみ","a gusset",
"オクラ","okra",
"おごと温泉 (駅)","Ogotoonsen Station",
"おごと温泉港","Ogoto Onsen Port",
"おこぼ","girl's lacquered wooden clogs",
